atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
82787,Cruzeiro,0.0,0.0,ata,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
83004,Atlético-MG,0.0,0.0,mei,1,3,0.0,0.0,0.0,22,21,23,41,0.0,1,0.0,0.0,3,23,0.0,8,0.0
82930,Ceará,0.0,0.0,lat,0.0,4,0.0,0.0,0.0,12,0.0,1,16,0.0,0.0,0.0,0.0,0.0,14,0.0,14,0.0
83199,Fluminense,0.0,0.0,ata,0.0,1,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
82943,Santos,0.0,0.0,lat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84382,Vasco,0.0,0.0,lat,2,3,1,0.0,0.0,33,5,7,9,1,2,0.0,0.0,1,47,0.0,23,5
83257,Flamengo,0.0,0.0,ata,5,9,1,0.0,0.0,18,31,32,25,0.0,22,0.0,0.0,16,52,0.0,8,0.0
84428,Ceará,0.0,0.0,mei,0.0,1,0.0,0.0,0.0,17,2,6,11,0.0,0.0,0.0,0.0,1,23,0.0,22,0.0
83263,Bahia,0.0,0.0,mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84462,CSA,0.0,0.0,ata,0.0,3,0.0,0.0,0.0,12,2,2,5,0.0,0.0,0.0,0.0,0.0,6,0.0,3,0.0
83433,Internacional,0.0,0.0,mei,1,5,0.0,0.0,0.0,35,4,12,34,0.0,2,0.0,0.0,0.0,38,0.0,54,0.0
84509,Ceará,0.0,0.0,zag,1,4,0.0,0.0,0.0,26,3,6,16,0.0,0.0,0.0,0.0,0.0,23,0.0,30,6
84523,Fortaleza,0.0,0.0,ata,3,1,0.0,0.0,0.0,17,11,7,68,0.0,3,0.0,0.0,2,47,0.0,18,0.0
83438,Internacional,0.0,0.0,ata,2,2,0.0,0.0,0.0,21,8,15,36,0.0,2,0.0,0.0,15,26,0.0,7,0.0
84709,Internacional,0.0,0.0,ata,3,6,0.0,0.0,0.0,26,15,20,15,2,1,0.0,0.0,13,43,0.0,21,0.0
